Month,Location,Country,Sales_Manager,Salesman,Customer,Cust_Type,Product,Sale,Cost,Profit
31-Jan-23,"Abu Dhabi, UAE",UAE,Nijoe,Kabir,Families Co,Supermarkets,330 ml,"217,125","81,114","136,011"
31-Jan-23,"Abu Dhabi, UAE",UAE,Nijoe,Kabir,Families Co,Supermarkets,450 L-Mint,"10,733","2,673","8,060"
31-Jan-23,"Abu Dhabi, UAE",UAE,Nijoe,Kat,Rotana,Hotels,Partner C-Top,"34,403","10,491","23,912"
31-Jan-23,"Abu Dhabi, UAE",UAE,Nijoe,Malik,Mohideen,Supermarkets,200 ml-24,"39,452","13,298","26,154"
31-Jan-23,"Abu Dhabi, UAE",UAE,Nijoe,Rehmat,E-Mart,Supermarkets,1L Reg-12,"8,424","1,030","7,394"
31-Jan-23,"Abu Dhabi, UAE",UAE,Nijoe,Rehmat,E-Mart,Supermarkets,200 ml-24,"5,742","2,795","2,947"
31-Jan-23,"Abu Dhabi, UAE",UAE,Nijoe,Rehmat,E-Mart,Supermarkets,330 ml,"35,201","16,096","19,106"
31-Jan-23,"Abu Dhabi, UAE",UAE,Nijoe,Rehmat,E-Mart,Supermarkets,450 Lemon,"16,149","4,047","12,103"
31-Jan-23,"Abu Dhabi, UAE",UAE,Nijoe,Shibhu,York Intl,Hotels,1L Reg-12,"45,630","22,165","23,465"
31-Jan-23,"Abu Dhabi, UAE",UAE,Nijoe,Siddique,New Era,Supermarkets,450 L-Mint,"5,113","1,968","3,146"
31-Jan-23,"Abu Dhabi, UAE",UAE,Nijoe,Siddique,Royal,Supermarkets,1L Reg-12,"8,892","4,462","4,430"
31-Jan-23,"Abu Dhabi, UAE",UAE,Nijoe,Winnie,Aswaaq,Supermarkets,200 ml-24,"18,150","6,824","11,326"
31-Jan-23,"Abu Dhabi, UAE",UAE,Nijoe,Winnie,Aswaaq,Supermarkets,330 ml,"10,328","5,569","4,759"
31-Jan-23,"Abu Dhabi, UAE",UAE,Nijoe,Winnie,Aswaaq,Supermarkets,450 L-Mint,"49,613","11,360","38,252"
31-Jan-23,"Abu Dhabi, UAE",UAE,Nijoe,Yosuf,Sunrise,Supermarkets,1L Reg-12,"20,085","11,011","9,074"
31-Jan-23,"Abu Dhabi, UAE",UAE,Nijoe,Yosuf,Sunrise,Supermarkets,330 ml,"18,113","6,683","11,430"
31-Jan-23,"Abu Dhabi, UAE",UAE,Nijoe,Yosuf,Sunrise,Supermarkets,450 L-Mint,"11,897","3,119","8,778"
31-Jan-23,"Abu Dhabi, UAE",UAE,Nijoe,Yosuf,Sunrise,Supermarkets,Lemon 500,"11,448","3,287","8,161"
31-Jan-23,"Al Ain, UAE",UAE,Mukul,Shabbir,City Mart,Supermarkets,450 L-Mint,"11,289","4,418","6,872"
31-Jan-23,"Al Ain, UAE",UAE,Mukul,Shabbir,City Mart,Supermarkets,Lemon 500,"9,630","3,960","5,670"
31-Jan-23,"Banglore, India",India,Arvind,Askar,Al Madina,Supermarkets,1L Reg-12,"100,854","34,377","66,477"
31-Jan-23,"Banglore, India",India,Arvind,Askar,Al Madina,Supermarkets,200 ml-24,"5,346",581,"4,765"
31-Jan-23,"Banglore, India",India,Arvind,Askar,Al Madina,Supermarkets,330 ml,"31,275","7,466","23,809"
31-Jan-23,"Banglore, India",India,Arvind,Askar,Al Madina,Supermarkets,450 L-Mint,"27,591","10,209","17,381"
31-Jan-23,"Banglore, India",India,Arvind,Askar,Al Madina,Supermarkets,Lemon 500,"9,540","3,498","6,042"
31-Jan-23,"Banglore, India",India,Arvind,Rizwan,Wow Pinoy,Supermarkets,450 Lemon,"5,214","1,411","3,804"
31-Jan-23,"Banglore, India",India,Arvind,Shabir,UAE Coop,Supermarkets,200 ml-24,"5,445","1,561","3,884"
31-Jan-23,"Banglore, India",India,Arvind,Shabir,UAE Coop,Supermarkets,450 L-Mint,"46,474","14,887","31,587"
31-Jan-23,"Banglore, India",India,Arvind,Shabir,UAE Coop,Supermarkets,Lemon 500,"29,970","10,626","19,344"
31-Jan-23,"Chennai, India",India,Najeeb,Majid,Arabian,Hotels,Hot & Cold,"86,927","29,522","57,406"
31-Jan-23,"Delhi, India",India,Qaseem,Iqbal,Madinath,Supermarkets,200 ml-24,"6,641","1,271","5,371"
31-Jan-23,"Delhi, India",India,Qaseem,Kurien,Al-Ain CoOp,Hypermarkets,450 L-Mint,"53,531","22,149","31,382"
31-Jan-23,"Delhi, India",India,Qaseem,Kurien,Al-Ain CoOp,Hypermarkets,Lemon 500,"40,050","17,820","22,230"
31-Jan-23,"Delhi, India",India,Qaseem,Kurien,Hyper Panda,Hypermarkets,330 ml,"151,695","45,895","105,800"
31-Jan-23,"Delhi, India",India,Qaseem,Nazeer,Westzone,Supermarkets,200 ml-24,"11,773","3,945","7,828"
31-Jan-23,"Delhi, India",India,Qaseem,Nazeer,Westzone,Supermarkets,330 ml,"6,638",990,"5,648"
31-Jan-23,"Delhi, India",India,Qaseem,Nazeer,Westzone,Supermarkets,450 L-Mint,"22,326","8,836","13,490"
31-Jan-23,"Delhi, India",India,Qaseem,Roman,Jyothis,Supermarkets,330 ml,"108,743","31,441","77,302"
